names,artist_names,artist_genres,albums
Lovin On Me,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Lovin On Me
Lil Boo Thang,Paul Russell,['indie r&b'],Lil Boo Thang
Got Me Started,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Something To Give Each Other
Houdini,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Houdini
Water,Tyla,[],Water
greedy,Tate McRae,"['alt z', 'pop']",greedy
Atmosphere,FISHER,"['australian house', 'house']",Atmosphere
Paint The Town Red,Doja Cat,"['dance pop', 'pop']",Scarlet
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"['classic oklahoma country', 'modern country pop']",Zach Bryan
Stick Season,Noah Kahan,['pov: indie'],Stick Season
Prada,cassö,[],Prada
Give You Love (feat. Jason Derulo),Jessica Mauboy,"['australian indigenous music', 'australian pop', 'australian talent show']",Give You Love (feat. Jason Derulo)
TOO MUCH,The Kid LAROI,['australian hip hop'],TOO MUCH
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,['pop'],1989 (Taylor's Version)
Strangers,Kenya Grace,['singer-songwriter pop'],Strangers
One Of Your Girls,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Something To Give Each Other
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Popular (Music from the HBO Original Series)
Eat Your Man (with Nelly Furtado),Dom Dolla,"['australian house', 'deep groove house', 'house']",Eat Your Man (with Nelly Furtado)
BLEED,The Kid LAROI,['australian hip hop'],THE FIRST TIME
get him back!,Olivia Rodrigo,['pop'],GUTS
Can I Shower At Yours,Amy Shark,['australian pop'],Can I Shower At Yours
(It Goes Like) Nanana - Edit,Peggy Gou,"['electra', 'float house']",(It Goes Like) Nanana [Edit]
Therapy,Budjerah,"['australian indigenous music', 'australian r&b']",Therapy
Calm Down (with Selena Gomez),Rema,"['afrobeats', 'nigerian pop']",Calm Down (with Selena Gomez)
Dance The Night - From Barbie The Album,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Dance The Night (From Barbie The Album)
Used To Be Young,Miley Cyrus,['pop'],Used To Be Young
Rush,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Something To Give Each Other
Single Soon,Selena Gomez,"['pop', 'post-teen pop']",Single Soon
Standing Next to You,Jung Kook,['k-pop'],GOLDEN
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"['art pop', 'pop']","What Was I Made For? [From The Motion Picture ""Barbie""]"
